Channel,Amplitude,Waveform_1,Waveform_2,Waveform_3,Waveform_4,Waveform_5,Waveform_6,Waveform_7,Waveform_8,Waveform_9,Waveform_10,Waveform_11,Waveform_12,Waveform_13,Waveform_14,Waveform_15,Waveform_16,Waveform_17,Waveform_18,Waveform_19,Waveform_20,Waveform_21,Waveform_22,Waveform_23,Waveform_24,Waveform_25,Waveform_26,Waveform_27,Waveform_28,Waveform_29,Waveform_30,Waveform_31,Waveform_32,Waveform_33,Waveform_34,Waveform_35,Waveform_36,Waveform_37,Waveform_38,Waveform_39,Waveform_40,Waveform_41,Waveform_42,Waveform_43,Waveform_44,Waveform_45,Waveform_46,Waveform_47,Waveform_48,Waveform_49,Waveform_50,Waveform_51,Timestamps_1,Timestamps_2,Timestamps_3,Timestamps_4,Timestamps_5,Timestamps_6,Timestamps_7,Timestamps_8,Timestamps_9,Timestamps_10,Timestamps_11,Timestamps_12,Timestamps_13,Timestamps_14,Timestamps_15,Timestamps_16,Timestamps_17,Timestamps_18,Timestamps_19,Timestamps_20,Timestamps_21,Timestamps_22,Timestamps_23,Timestamps_24,Timestamps_25,Timestamps_26,Timestamps_27,Timestamps_28,Timestamps_29,Timestamps_30,Timestamps_31,Timestamps_32,Timestamps_33,Timestamps_34,Timestamps_35,Timestamps_36,Timestamps_37,Timestamps_38,Timestamps_39,Timestamps_40,Timestamps_41,Timestamps_42,Timestamps_43,Timestamps_44,Timestamps_45,Timestamps_46,Timestamps_47,Timestamps_48,Timestamps_49,Timestamps_50,Timestamps_51,Spike_Idx
29,152.490751499198,-20.9426777114777,-31.7853832232483,-47.3558280310578,-66.4244209234286,-83.3017226254085,-92.0427845881633,-90.6327231273305,-81.5204640127076,-69.5021807629767,-58.4974008857449,-49.3867341400695,-40.9041641321648,-32.0603851357511,-23.349201258395,-15.8904432746128,-9.61142185442223,-2.96540205517417,5.63006038284059,17.2283385449369,32.9043787540014,53.8508258649744,79.761152829027,106.776090287034,129.481426971575,144.928975576342,152.490751499198,151.66945858356,142.31285648149,125.956743703783,105.101229237529,81.5292573760734,58.6048950608824,43.3470480253498,40.568498917737,46.7790892616303,53.423328676827,54.6753461017744,50.3275417928526,42.4742302135126,32.8304895724939,23.0686148077735,14.5210482382672,7.15119215499141,-0.299610349212824,-8.7987766965858,-16.9633502614482,-21.3403774905292,-20.2720856167352,-16.3093587714044,-13.6419498009174,-14.8790905590683,924.085366666667,924.0854,924.085433333333,924.085466666667,924.0855,924.085533333333,924.085566666667,924.0856,924.085633333333,924.085666666667,924.0857,924.085733333333,924.085766666667,924.0858,924.085833333333,924.085866666667,924.0859,924.085933333333,924.085966666667,924.086,924.086033333333,924.086066666667,924.0861,924.086133333333,924.086166666667,924.0862,924.086233333333,924.086266666667,924.0863,924.086333333333,924.086366666667,924.0864,924.086433333333,924.086466666667,924.0865,924.086533333333,924.086566666667,924.0866,924.086633333333,924.086666666667,924.0867,924.086733333333,924.086766666667,924.0868,924.086833333333,924.086866666667,924.0869,924.086933333333,924.086966666667,924.087,924.087033333333,27722586
29,145.738195633918,-53.985048906838,-59.1614269384291,-58.3401081637197,-52.2931890291744,-44.3416650269206,-39.7241669231388,-42.4743181774498,-51.5152894100001,-61.8087792912578,-70.6438099969689,-78.0918738480486,-82.6769976903506,-82.3606891163125,-77.3568561963508,-69.2523225199626,-59.469107143566,-48.4140737387593,-35.0176082235024,-17.402575200949,6.88377654120538,39.4306273163655,76.8966250848695,111.081376053939,134.767700952608,145.701705189684,145.738195633918,138.098142355008,125.514526473444,110.058445650602,93.461483619306,77.7026407563076,65.461569441983,58.526999896993,55.9134186229592,54.8117892532295,53.10352202578,50.426985205672,46.9175307866666,42.1499882720809,35.930990439593,28.3903018233284,19.5974924661558,10.2929962193423,1.72423951244616,-4.92826452128517,-8.70408288966568,-9.76307993261587,-9.95111061417249,-11.8064443545744,-16.2405812288656,-21.719903090613,15.8393,15.8393333333333,15.8393666666667,15.8394,15.8394333333333,15.8394666666667,15.8395,15.8395333333333,15.8395666666667,15.8396,15.8396333333333,15.8396666666667,15.8397,15.8397333333333,15.8397666666667,15.8398,15.8398333333333,15.8398666666667,15.8399,15.8399333333333,15.8399666666667,15.84,15.8400333333333,15.8400666666667,15.8401,15.8401333333333,15.8401666666667,15.8402,15.8402333333333,15.8402666666667,15.8403,15.8403333333333,15.8403666666667,15.8404,15.8404333333333,15.8404666666667,15.8405,15.8405333333333,15.8405666666667,15.8406,15.8406333333333,15.8406666666667,15.8407,15.8407333333333,15.8407666666667,15.8408,15.8408333333333,15.8408666666667,15.8409,15.8409333333333,15.8409666666667,475204
33,143.188590912541,-30.4170701310946,-27.1621264137142,-22.3214303376223,-18.5810761838591,-18.9911630854593,-24.290991143269,-32.6130313402812,-42.6749415785401,-53.5931709023525,-62.2634351736854,-64.4346176271641,-58.8468999194065,-49.1001763897486,-40.2590027389312,-34.0081745779746,-28.2409080544931,-20.8804476204794,-12.128433924083,-2.07388344925614,12.2826624239841,34.973369908666,65.2618320015484,96.5435620032612,121.910490042236,137.809231023319,143.188590912541,139.172104403736,129.308094952789,117.713283058961,106.205073030775,93.8210189994743,79.7901192804508,65.2708730638472,51.4950595156307,39.2329782286019,29.6953284144204,23.5760961379889,20.3321885626962,18.6791749213707,16.7263414002005,11.9711418631555,2.86087259570701,-9.03172914060583,-19.974517731705,-26.7673240557196,-28.1633981269697,-25.6469571959096,-22.3253057761615,-20.3213594004526,-19.8050511465708,-19.9953596156016,455.6862,455.686233333333,455.686266666667,455.6863,455.686333333333,455.686366666667,455.6864,455.686433333333,455.686466666667,455.6865,455.686533333333,455.686566666667,455.6866,455.686633333333,455.686666666667,455.6867,455.686733333333,455.686766666667,455.6868,455.686833333333,455.686866666667,455.6869,455.686933333333,455.686966666667,455.687,455.687033333333,455.687066666667,455.6871,455.687133333333,455.687166666667,455.6872,455.687233333333,455.687266666667,455.6873,455.687333333333,455.687366666667,455.6874,455.687433333333,455.687466666667,455.6875,455.687533333333,455.687566666667,455.6876,455.687633333333,455.687666666667,455.6877,455.687733333333,455.687766666667,455.6878,455.687833333333,455.687866666667,13670611
33,142.09968805297,-21.3926932581041,-20.2685495302843,-18.2492389742791,-20.3750540471568,-31.2972343340808,-48.5558634526755,-62.1828319977996,-64.5690350098315,-58.258236602989,-50.726793873253,-45.9553375306886,-43.2732280723444,-40.0210589920858,-34.5343873369886,-27.7715389735696,-21.1632297573589,-14.0290775659442,-4.96593224579741,5.50907256469137,15.8787130898728,27.2354199332278,44.3677756406358,70.8659797267016,102.581773150415,128.978155112375,142.09968805297,141.943654064786,133.167081615028,119.789295199159,104.177210754044,88.4682091271717,74.9871205724821,65.4870189671002,59.9658604901289,55.9270935310716,49.81567009899,40.4020679129048,30.0229418668974,21.6322492337696,14.459273348017,4.11821887976454,-9.69946944738543,-19.0598310826694,-16.734068915807,-5.01926905204529,7.79386501414316,15.5352711195112,17.2050606237082,14.9861877503712,10.9243988786251,5.5941830497771,503.516766666667,503.5168,503.516833333333,503.516866666667,503.5169,503.516933333333,503.516966666667,503.517,503.517033333333,503.517066666667,503.5171,503.517133333333,503.517166666667,503.5172,503.517233333333,503.517266666667,503.5173,503.517333333333,503.517366666667,503.5174,503.517433333333,503.517466666667,503.5175,503.517533333333,503.517566666667,503.5176,503.517633333333,503.517666666667,503.5177,503.517733333333,503.517766666667,503.5178,503.517833333333,503.517866666667,503.5179,503.517933333333,503.517966666667,503.518,503.518033333333,503.518066666667,503.5181,503.518133333333,503.518166666667,503.5182,503.518233333333,503.518266666667,503.5183,503.518333333333,503.518366666667,503.5184,503.518433333333,15105528
33,138.798941845374,-22.8086835141871,-26.8480430152699,-31.4110381022448,-35.0688737575016,-38.0655634323355,-43.3710584628358,-54.8136936908635,-71.3052638446265,-86.3164065463108,-94.6585340321043,-95.6044743909283,-90.5627612605076,-81.2768024031649,-68.8205289546754,-53.4986796792511,-36.2741113318899,-18.9437121046046,-2.59823583092516,13.4845584371411,31.855119843534,54.6611542779182,80.5219997601921,105.211179837803,124.762259568412,136.489370425135,138.798941845374,131.641074380876,116.762038101653,97.6017642649614,78.9937965831511,64.8183751661155,55.4685605490941,49.1867703950986,44.0722678030587,37.8602232077701,29.2466351091409,20.1233350210118,13.5316669111324,9.82123291764452,6.88274034961496,2.63169269597326,-3.74824313140506,-11.2890898667235,-17.5577123281409,-20.2781974961644,-18.9366203962936,-15.4473883985635,-13.2018567255482,-13.8797884275761,-15.8952148093465,-17.3835525899646,527.279133333333,527.279166666667,527.2792,527.279233333333,527.279266666667,527.2793,527.279333333333,527.279366666667,527.2794,527.279433333333,527.279466666667,527.2795,527.279533333333,527.279566666667,527.2796,527.279633333333,527.279666666667,527.2797,527.279733333333,527.279766666667,527.2798,527.279833333333,527.279866666667,527.2799,527.279933333333,527.279966666667,527.28,527.280033333333,527.280066666667,527.2801,527.280133333333,527.280166666667,527.2802,527.280233333333,527.280266666667,527.2803,527.280333333333,527.280366666667,527.2804,527.280433333333,527.280466666667,527.2805,527.280533333333,527.280566666667,527.2806,527.280633333333,527.280666666667,527.2807,527.280733333333,527.280766666667,527.2808,15818399
43,137.497489173989,-46.5398101689803,-39.733344624892,-36.0472755929441,-28.8972677041459,-16.2195385659673,-5.08071934027688,-2.3421051265638,-6.02735517767362,-9.24462865961663,-8.28881211735983,-3.75404643597842,3.10342264178056,10.7075919313823,16.2731041910263,18.1995083236358,17.4451990718651,15.8010452221337,15.2142788943951,17.9591780605698,25.736250831716,39.8240730399616,61.0271026974454,87.3497459517447,113.212697321436,131.636647631188,137.497489173989,130.303931324762,112.732898611316,87.1280956278559,56.4376455815442,24.773796295233,-4.53145801706271,-27.3851151463168,-40.6737316661122,-47.1732914668211,-50.5615399607636,-49.2167019818911,-42.1371852160753,-34.1771132567706,-30.2641258247812,-30.5147586923354,-32.5177899310232,-34.5535813262031,-36.6013129141582,-37.7394002677175,-33.758464279553,-22.6571628827736,-10.2720496540098,-4.0153768411786,-3.52146605593143,-1.94810802784046,67.5665,67.5665333333333,67.5665666666667,67.5666,67.5666333333333,67.5666666666667,67.5667,67.5667333333333,67.5667666666667,67.5668,67.5668333333333,67.5668666666667,67.5669,67.5669333333333,67.5669666666667,67.567,67.5670333333333,67.5670666666667,67.5671,67.5671333333333,67.5671666666667,67.5672,67.5672333333333,67.5672666666667,67.5673,67.5673333333333,67.5673666666667,67.5674,67.5674333333333,67.5674666666667,67.5675,67.5675333333333,67.5675666666667,67.5676,67.5676333333333,67.5676666666667,67.5677,67.5677333333333,67.5677666666667,67.5678,67.5678333333333,67.5678666666667,67.5679,67.5679333333333,67.5679666666667,67.568,67.5680333333333,67.5680666666667,67.5681,67.5681333333333,67.5681666666667,2027020
43,137.394627856647,-9.01923530473449,-3.00199950048262,3.7228763161094,8.29245522911727,6.48066588437437,-2.11482688978954,-13.3616730766614,-21.7774272095879,-24.2612433363675,-21.191891743785,-14.8643503386249,-8.18301350924279,-3.90882576359583,-2.72733686442713,-1.94189770317463,1.93865967784858,9.7447097158272,19.9049021111653,30.5452565561331,40.8633604894798,52.1298180384676,67.447328763829,88.3366530684211,111.12807386663,129.007790008036,137.394627856647,135.190014628971,121.663470039037,95.9007230089774,60.6861433664376,23.706770507295,-7.16230556786409,-28.2135606338704,-38.2025385107249,-34.6119056371845,-17.1186402531055,6.11545519223756,23.3597303538661,28.8069000389514,22.6781687544324,8.05646056022817,-8.59345717588781,-18.7442730347488,-18.9282435235754,-14.6940693572141,-13.9133234667868,-19.3074862270258,-28.1834658488171,-35.4909309459895,-37.0175597965963,-32.0164061391828,433.2735,433.273533333333,433.273566666667,433.2736,433.273633333333,433.273666666667,433.2737,433.273733333333,433.273766666667,433.2738,433.273833333333,433.273866666667,433.2739,433.273933333333,433.273966666667,433.274,433.274033333333,433.274066666667,433.2741,433.274133333333,433.274166666667,433.2742,433.274233333333,433.274266666667,433.2743,433.274333333333,433.274366666667,433.2744,433.274433333333,433.274466666667,433.2745,433.274533333333,433.274566666667,433.2746,433.274633333333,433.274666666667,433.2747,433.274733333333,433.274766666667,433.2748,433.274833333333,433.274866666667,433.2749,433.274933333333,433.274966666667,433.275,433.275033333333,433.275066666667,433.2751,433.275133333333,433.275166666667,12998230
29,137.090331245303,19.8053136740665,10.0350661570122,-1.23804116139598,-9.15916389458387,-12.6461475023194,-15.4727759506303,-23.885733329278,-41.1448253915902,-62.8522265823127,-79.8806552336126,-85.3894599872478,-78.8354515703095,-65.5154223375218,-51.4911041508749,-39.5025111899333,-30.3282416204164,-24.0267536306501,-18.5977572997685,-10.5521114136127,2.8846550736401,23.7179939638865,52.388951746716,84.8009092090402,113.403622283297,131.670785067852,137.090331245303,132.442836863184,123.222833271179,112.970146578054,102.745445627446,92.9625677270139,83.7245749892816,75.0431895874617,67.5039471920262,61.6384621955282,56.4026665537273,49.5001096729071,39.4144375258281,26.534427893662,12.8076740213167,0.33344632137056,-9.62120468257016,-15.6406155967079,-16.1984768062898,-11.8027525741958,-5.08029176582914,0.964783563747396,4.12771805427779,4.23193962192389,2.74554445726788,0.215053615423961,919.907166666667,919.9072,919.907233333333,919.907266666667,919.9073,919.907333333333,919.907366666667,919.9074,919.907433333333,919.907466666667,919.9075,919.907533333333,919.907566666667,919.9076,919.907633333333,919.907666666667,919.9077,919.907733333333,919.907766666667,919.9078,919.907833333333,919.907866666667,919.9079,919.907933333333,919.907966666667,919.908,919.908033333333,919.908066666667,919.9081,919.908133333333,919.908166666667,919.9082,919.908233333333,919.908266666667,919.9083,919.908333333333,919.908366666667,919.9084,919.908433333333,919.908466666667,919.9085,919.908533333333,919.908566666667,919.9086,919.908633333333,919.908666666667,919.9087,919.908733333333,919.908766666667,919.9088,919.908833333333,27597240
43,134.972837049686,-46.7521098076385,-23.0433601373411,-5.72270312845256,0.0170640033842662,-0.729427422058212,0.759389145816469,9.29359748308596,20.3638789747917,24.8873944201645,19.7459900568579,8.45213046069257,-4.92093530050442,-17.3421685135397,-26.1235994063321,-29.9577201733577,-29.582160175894,-26.1237908100201,-19.30203852962,-8.44373729209081,6.48416477418723,26.4535528069293,52.7805094896411,83.2787841637602,111.508169099145,130.180860387009,134.972837049686,126.937573128719,111.697675608043,95.3364411945039,80.7321346915239,67.6816614329061,55.6623809513273,44.7658602189554,34.3848809000718,23.1867101638528,10.6159361547295,-2.30457347458719,-13.7612031002751,-23.5094809099769,-35.193126407157,-53.5202362737117,-77.0262920358113,-96.2901285359165,-100.20905225439,-84.2495267036595,-54.5586065562176,-23.548901437421,-0.831257806049096,11.5667310041488,16.6045382536242,17.0892854686084,517.918033333333,517.918066666667,517.9181,517.918133333333,517.918166666667,517.9182,517.918233333333,517.918266666667,517.9183,517.918333333333,517.918366666667,517.9184,517.918433333333,517.918466666667,517.9185,517.918533333333,517.918566666667,517.9186,517.918633333333,517.918666666667,517.9187,517.918733333333,517.918766666667,517.9188,517.918833333333,517.918866666667,517.9189,517.918933333333,517.918966666667,517.919,517.919033333333,517.919066666667,517.9191,517.919133333333,517.919166666667,517.9192,517.919233333333,517.919266666667,517.9193,517.919333333333,517.919366666667,517.9194,517.919433333333,517.919466666667,517.9195,517.919533333333,517.919566666667,517.9196,517.919633333333,517.919666666667,517.9197,15537566
43,134.700124458624,-33.1954596584742,-44.9761388237773,-51.6875261144877,-53.0872156959998,-48.5279299387346,-39.4630843036052,-29.6297192582787,-21.5964970419978,-14.2698313047937,-5.16539393291569,4.85802099496504,11.9410923608209,14.2438711933325,13.3920031770372,11.4050115282021,9.22529757601954,8.34882280162499,11.0661068937912,18.1334858461737,29.164405943225,45.8198196288723,69.8935130985039,97.7427011652159,121.317011963257,134.405824954739,134.700124458624,121.487943789484,96.3313822036295,66.0506377956324,38.6879231109745,16.3537248008763,-3.14009518976458,-20.6959078879302,-35.2202805859269,-45.1130574618637,-49.1332743083361,-47.4570483155973,-40.7371455064761,-27.132375122725,-4.38710758333645,23.3296624025681,44.8563575620957,50.5234900809093,40.6348409901849,25.9628071058952,17.8354538928957,15.4991887502795,9.46180879315574,-1.18258429154335,-7.36231194848025,-7.05306471496068,333.467966666667,333.468,333.468033333333,333.468066666667,333.4681,333.468133333333,333.468166666667,333.4682,333.468233333333,333.468266666667,333.4683,333.468333333333,333.468366666667,333.4684,333.468433333333,333.468466666667,333.4685,333.468533333333,333.468566666667,333.4686,333.468633333333,333.468666666667,333.4687,333.468733333333,333.468766666667,333.4688,333.468833333333,333.468866666667,333.4689,333.468933333333,333.468966666667,333.469,333.469033333333,333.469066666667,333.4691,333.469133333333,333.469166666667,333.4692,333.469233333333,333.469266666667,333.4693,333.469333333333,333.469366666667,333.4694,333.469433333333,333.469466666667,333.4695,333.469533333333,333.469566666667,333.4696,333.469633333333,10004064
